Average/SuccessRate,Average/AverageReturn,push-v1/AverageDiscountedReturn,push-v1/Iteration,MetaTest/push-v1/StdReturn,push-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/push-v1/NumEpisodes,push-v1/StdReturn,push-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/push-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/AverageDiscountedReturn,Average/MaxReturn,push-v1/AverageReturn,MetaTest/push-v1/MaxReturn,Iteration,push-v1/MaxReturn,Average/StdReturn,MetaTest/Average/Iteration,push-v1/NumEpisodes,Average/NumEpisodes,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/AverageReturn,Average/MinReturn,GaussianMLPPolicy/LossBefore,Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,Average/Iteration,GaussianMLPPolicy/dLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/LossAfter,push-v1/TerminationRate,MetaTest/push-v1/Iteration,MetaTest/push-v1/MinReturn
0.07,8239.093623425146,2356.801879989586,32,,-29.677418295878272,,,2640000,,15363.882928833727,0.07,5.614112854003906,,,,,0.0,,103550.18684449981,8239.093623425146,,32,103550.18684449981,15363.882928833727,,200,200,2356.801879989586,1.8103128240909427e-05,,-29.677418295878272,3.2707607715565246e-06,0.0,,,32,2.567958290455863e-08,,,3.245081188651966e-06,0.0,,
0.115,11557.026028466813,3263.0959996861575,33,,-23.55272620903956,,,2720000,,18523.83387817134,0.115,5.613449573516846,,,,,0.0,,104093.36306247297,11557.026028466813,,33,104093.36306247297,18523.83387817134,,200,200,3263.0959996861575,2.2415208150050603e-05,,-23.55272620903956,-2.3426837287843227e-06,0.0,,,33,3.172317519783974e-08,,,-2.3744069039821625e-06,0.0,,
0.05,7385.351632290352,2200.757344384564,34,,-36.59352507491115,,,2800000,,15356.27918782367,0.05,5.610913276672363,,,,,0.0,,156915.4035734752,7385.351632290352,,34,156915.4035734752,15356.27918782367,,200,200,2200.757344384564,1.0180816389038227e-05,,-36.59352507491115,-4.389516107039526e-06,0.0,,,34,1.4400029613170773e-08,,,-4.403916136652697e-06,0.0,,
0.1,9181.47950899058,2534.386165822126,35,,-22.950635169229958,,,2880000,,16948.196389297453,0.1,5.611052989959717,,,,,0.0,,87342.75334958496,9181.47950899058,,35,87342.75334958496,16948.196389297453,,200,200,2534.386165822126,4.6582554205087945e-06,,-22.950635169229958,4.5501352019527985e-07,0.0,,,35,6.586418521692394e-09,,,4.4842710167358746e-07,0.0,,
0.085,11118.601711400943,3135.8559877948733,36,,-26.278901641740607,,,2960000,,21994.86672893656,0.085,5.6117377281188965,,,,,0.0,,194158.82169353362,11118.601711400943,,36,194158.82169353362,21994.86672893656,,200,200,3135.8559877948733,9.82637266133679e-06,,-26.278901641740607,1.206692331834347e-06,0.0,,,36,1.3891508388041984e-08,,,1.192800823446305e-06,0.0,,
0.11,10337.85151631998,2879.2262635072716,37,,-25.021563692466206,,,3040000,,19332.789451806806,0.11,5.6088995933532715,,,,,0.0,,121356.98743663667,10337.85151631998,,37,121356.98743663667,19332.789451806806,,200,200,2879.2262635072716,3.144749643979594e-05,,-25.021563692466206,-2.5967096917156596e-06,0.0,,,37,4.4540684029925615e-08,,,-2.641250375745585e-06,0.0,,
0.115,9804.672527962502,2729.6635277469386,38,,-24.431061411431592,,,3120000,,16035.06400081116,0.115,5.608480453491211,,,,,0.0,,94500.18957234969,9804.672527962502,,38,94500.18957234969,16035.06400081116,,200,200,2729.6635277469386,1.1065867511206307e-05,,-24.431061411431592,-1.1480170769573306e-06,0.0,,,38,1.566547780385008e-08,,,-1.1636825547611807e-06,0.0,,
0.09,11097.3372385325,3264.5566291501655,39,,-42.07617750150217,,,3200000,,20171.377784832028,0.09,5.608000755310059,,,,,0.0,,143034.55582977348,11097.3372385325,,39,143034.55582977348,20171.377784832028,,200,200,3264.5566291501655,4.150053791818209e-05,,-42.07617750150217,-1.2249013252585428e-06,0.0,,,39,5.872277597518405e-08,,,-1.2836241012337268e-06,0.0,,
0.11,12124.323834205195,3575.7986128411185,40,14991.163422009507,-31.548701492945412,-21.991339217916327,0.0,3280000,50,16516.731394890598,0.11,5.6064839363098145,0.0,14991.163422009507,79184.31115323576,9081.577282005494,0.0,9081.577282005492,108402.48495658237,12124.323834205195,79184.31115323576,40,108402.48495658237,16516.731394890598,4,200,200,3575.7986128411185,6.8360909608600195e-06,9081.577282005494,-31.548701492945412,-3.0479654924420174e-06,0.0,0.1,50,40,9.688392310636118e-09,9081.577282005492,0.1,-3.0576538847526535e-06,0.0,4,-21.991339217916327
0.075,10047.268099637142,2760.9474462330195,41,,-47.35518839445172,,,3360000,,17181.59952743257,0.075,5.604166030883789,,,,,0.0,,99010.54537970496,10047.268099637142,,41,99010.54537970496,17181.59952743257,,200,200,2760.9474462330195,2.4039150957833044e-05,,-47.35518839445172,-4.624644589057425e-06,0.0,,,41,3.3997366699622944e-08,,,-4.658641955757048e-06,0.0,,
0.1,10686.22532503341,3140.4991302190633,42,,-27.275683434522644,,,3440000,,18347.837170965224,0.1,5.5977253913879395,,,,,0.0,,157199.18760725175,10686.22532503341,,42,157199.18760725175,18347.837170965224,,200,200,3140.4991302190633,2.4102741008391604e-05,,-27.275683434522644,-5.6019125622697175e-06,0.0,,,42,3.4098775358870625e-08,,,-5.636011337628588e-06,0.0,,
0.08,12373.37987131707,3643.530671294949,43,,-37.98396180041616,,,3520000,,20736.449925387536,0.08,5.581881046295166,,,,,0.0,,133121.52554087792,12373.37987131707,,43,133121.52554087792,20736.449925387536,,200,200,3643.530671294949,0.00010770621156552806,,-37.98396180041616,-1.1517573511810042e-05,0.0,,,43,1.5330806490965188e-07,,,-1.1670881576719694e-05,0.0,,
0.08,11555.933593876907,3077.835801064844,44,,-25.126547804973583,,,3600000,,21796.38669316363,0.08,5.5750651359558105,,,,,0.0,,152312.37337157413,11555.933593876907,,44,152312.37337157413,21796.38669316363,,200,200,3077.835801064844,1.881006028270349e-05,,-25.126547804973583,-5.103292096464429e-06,0.0,,,44,2.6619090931490064e-08,,,-5.129911187395919e-06,0.0,,
0.1,11416.985928355349,3451.3482167398706,45,,-26.219190978109534,,,3680000,,20556.115263534415,0.1,5.562411785125732,,,,,0.0,,162716.69883181524,11416.985928355349,,45,162716.69883181524,20556.115263534415,,200,200,3451.3482167398706,7.253103831317276e-05,,-26.219190978109534,-8.639776751806494e-06,0.0,,,45,1.0296025720890611e-07,,,-8.7427370090154e-06,0.0,,
0.105,10597.947777215444,2838.070729167518,46,,-25.741118494561558,,,3760000,,17358.547489923072,0.105,5.562875747680664,,,,,0.0,,136727.51304661817,10597.947777215444,,46,136727.51304661817,17358.547489923072,,200,200,2838.070729167518,2.5647366783232428e-05,,-25.741118494561558,1.2282896477699978e-06,0.0,,,46,3.6234609979146626e-08,,,1.1920550377908512e-06,0.0,,
0.105,11656.756879677638,3422.0917287095585,47,,-27.35316029802246,,,3840000,,20134.354925555745,0.105,5.56306791305542,,,,,0.0,,139252.38473886994,11656.756879677638,,47,139252.38473886994,20134.354925555745,,200,200,3422.0917287095585,8.422442078881431e-06,,-27.35316029802246,6.892221335874638e-07,0.0,,,47,1.189823706226889e-08,,,6.773238965251949e-07,0.0,,
