TotalEnvSteps,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/hammer-v1/Iteration,MetaTest/hammer-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/hammer-v1/AverageReturn,MetaTest/hammer-v1/StdReturn,MetaTest/hammer-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/hammer-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/hammer-v1/SuccessRate,MetaTest/hammer-v1/TerminationRate,MetaTest/hammer-v1/AverageDiscountedReturn,MetaTrain/Average/QfLoss
1448000,3480.4722,nan,10,51,51,-127.86400109471509,-73.52445089157743,-23.892722199557323,-2.8502738,-73.52445089157746,0.0,-73.52445089157746,34.77132904822261,-23.892722199557323,-127.86400109471509,-2552.0896,10,34.77132904822261,0.0,0.0,0.0,-73.52445089157743,207957.83
1472000,1359.5187,nan,10,52,52,-103.68437536855815,424.4708783355769,4880.0840732511215,-7.073162,424.4708783355762,0.0,424.4708783355762,1485.453668871128,4880.0840732511215,-103.68437536855815,-9990.691,10,1485.453668871128,0.0,0.0,0.0,424.4708783355769,239486.69
1496000,1874.6451,nan,10,53,53,-62.747431146315996,-41.27374012455644,2.6591679534613544,-2.5095751,-41.27374012455643,0.0,-41.27374012455643,18.030698484749912,2.6591679534613544,-62.747431146315996,-4838.611,10,18.030698484749912,0.0,0.0,0.0,-41.27374012455644,204803.98
1520000,2174.3606,nan,10,54,54,-65.3428763894452,-27.889632819732032,-8.71204702657129,-7.7091494,-27.889632819732043,0.0,-27.889632819732043,18.216197692807064,-8.71204702657129,-65.3428763894452,-9801.562,10,18.216197692807064,0.0,0.0,0.0,-27.889632819732032,491983.97
1544000,1667.5334,nan,10,55,55,-113.60144081171384,-53.79824298233045,-14.121652674385851,-13.851613,-53.798242982330464,0.0,-53.798242982330464,41.69083210156611,-14.121652674385851,-113.60144081171384,-20202.904,10,41.69083210156611,0.0,0.0,0.0,-53.79824298233045,754516.25
1568000,1099.1031,nan,10,56,56,-44.79512895881616,-27.260691889926086,-9.417193200701217,-11.245087,-27.260691889926072,0.0,-27.260691889926072,10.028322899508504,-9.417193200701217,-44.79512895881616,-19710.05,10,10.028322899508504,0.0,0.0,0.0,-27.260691889926086,596429.7
1592000,1058.4043,nan,10,57,57,-47.55875477280788,-25.348949668859348,-16.616201254920227,-10.986408,-25.348949668859344,0.0,-25.348949668859344,9.103717026063627,-16.616201254920227,-47.55875477280788,-22920.38,10,9.103717026063627,0.0,0.0,0.0,-25.348949668859348,572723.94
1616000,608.4295,nan,10,58,58,-45.76467294716084,-30.85490951920436,-17.554456554014994,-10.8076515,-30.85490951920436,0.0,-30.85490951920436,9.790417362938909,-17.554456554014994,-45.76467294716084,-25230.809,10,9.790417362938909,0.0,0.0,0.0,-30.85490951920436,677807.56
1640000,523.0952,nan,10,59,59,-34.03065346077302,-23.661299390904386,-14.469318581182169,-10.593873,-23.66129939090439,0.0,-23.66129939090439,6.072846055444562,-14.469318581182169,-34.03065346077302,-24202.271,10,6.072846055444562,0.0,0.0,0.0,-23.661299390904386,968300.3
1664000,847.96027,nan,10,60,60,-90.70659507297553,-54.71120233497241,-12.000131590605433,-7.3705354,-54.711202334972405,0.0,-54.711202334972405,21.626802125187094,-12.000131590605433,-90.70659507297553,-17955.6,10,21.626802125187094,0.0,0.0,0.0,-54.71120233497241,566774.3
1688000,2862.4119,nan,10,61,61,-73.65846417037605,-43.3423943725454,-13.365114968991971,-2.0193272,-43.342394372545414,0.0,-43.342394372545414,21.819027705228514,-13.365114968991971,-73.65846417037605,-7142.143,10,21.819027705228514,0.0,0.0,0.0,-43.3423943725454,179443.66
1712000,1362.3607,nan,10,62,62,-59.17713782768089,-19.367110927067714,49.89198218689212,1.9446247,-19.36711092706772,0.0,-19.36711092706772,26.313597531667604,49.89198218689212,-59.17713782768089,2213.7388,10,26.313597531667604,0.0,0.0,0.0,-19.367110927067714,44410.07
1736000,1456.152,nan,10,63,63,-66.59337237627673,-37.07439581365039,-7.42880374972848,0.45219237,-37.07439581365036,0.0,-37.07439581365036,22.864402758110003,-7.42880374972848,-66.59337237627673,2738.2095,10,22.864402758110003,0.0,0.0,0.0,-37.07439581365039,42730.938
1760000,668.29364,nan,10,64,64,-94.4254832132013,-75.07634228013819,-25.34537618733997,-0.66951793,-75.0763422801382,0.0,-75.0763422801382,28.141464268897888,-25.34537618733997,-94.4254832132013,1118.4604,10,28.141464268897888,0.0,0.0,0.0,-75.07634228013819,61935.97
1784000,556.33673,nan,10,65,65,-108.17454958780397,782.0923941917297,8297.429061548544,1.0134045,782.0923941917301,0.0,782.0923941917301,2505.3568618324857,8297.429061548544,-108.17454958780397,1594.2911,10,2505.3568618324857,0.0,0.0,0.0,782.0923941917297,82924.88
1808000,34.51445,nan,10,66,66,-35.418597669820954,-27.84337565193198,-16.92236557693726,-2.4192955,-27.843375651931986,0.0,-27.843375651931986,6.240293071557596,-16.92236557693726,-35.418597669820954,1558.6542,10,6.240293071557596,0.0,0.0,0.0,-27.84337565193198,173654.16
1832000,21.294453,nan,10,67,67,-110.63672677867783,-53.225146587965995,-26.201139197690814,-5.3873863,-53.225146587966,0.0,-53.225146587966,23.349686853075482,-26.201139197690814,-110.63672677867783,346.54184,10,23.349686853075482,0.0,0.0,0.0,-53.225146587965995,420976.56
1856000,194.51674,nan,10,68,68,-112.23151416887063,-58.5455967810576,-14.815148030059309,-6.8127127,-58.54559678105761,0.0,-58.54559678105761,34.19735260439257,-14.815148030059309,-112.23151416887063,-507.93,10,34.19735260439257,0.0,0.0,0.0,-58.5455967810576,481312.3
1880000,1152.6227,nan,10,69,69,-132.24578538405015,-67.2591155322204,-17.052294343089685,-1.9659492,-67.25911553222042,0.0,-67.25911553222042,36.91588738065771,-17.052294343089685,-132.24578538405015,3027.7598,10,36.91588738065771,0.0,0.0,0.0,-67.2591155322204,120493.01
1904000,85.00756,nan,10,70,70,-112.51004310858255,-58.49001115332786,-26.251030226243238,-8.289496,-58.49001115332787,0.0,-58.49001115332787,29.89181831994687,-26.251030226243238,-112.51004310858255,-3086.657,10,29.89181831994687,0.0,0.0,0.0,-58.49001115332786,439037.12
1928000,911.5364,nan,10,71,71,-105.56220044921334,246.95531448453963,2916.9902370452173,-7.951083,246.95531448453985,0.0,246.95531448453985,891.6265624983974,2916.9902370452173,-105.56220044921334,-3389.0603,10,891.6265624983974,0.0,0.0,0.0,246.95531448453963,684003.7
1952000,48.09642,nan,10,72,72,-121.95258487929432,4104.495097195502,23522.825394695657,-9.2431345,4104.495097195502,0.0,4104.495097195502,7180.601000658061,23522.825394695657,-121.95258487929432,-5540.7744,10,7180.601000658061,0.0,0.0,0.0,4104.495097195502,538680.5
