MetaTest/Average/Iteration,Average/Iteration,Average/NumEpisodes,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration,Iteration,Average/SuccessRate,push-v1/MaxReturn,push-v1/AverageReturn,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/TerminationRate,push-v1/AverageDiscountedReturn,MetaTest/push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/AverageReturn,Average/TerminationRate,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,MetaTest/Average/NumEpisodes,Average/MaxReturn,push-v1/NumEpisodes,push-v1/StdReturn,TotalEnvSteps,push-v1/TerminationRate,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/StdReturn,MetaTest/Average/SuccessRate,push-v1/Iteration,MetaTest/push-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/AverageReturn,MetaTest/Average/StdReturn,push-v1/SuccessRate,Average/AverageDiscountedReturn
,32,200,,,,,,32,0.095,110259.06108119125,8062.471475761868,15375.092677226217,,,2166.869683752454,,-22.84302148039575,8062.471475761868,0.0,,0.0001574590860400349,-22.84302148039575,,2.244123606942594e-07,5.542931079864502,-6.183350251376396e-06,,110259.06108119125,200,15375.092677226217,2640000,0.0,,0.0,,,32,,-6.4077626120706555e-06,,,0.095,2166.869683752454
,33,200,,,,,,33,0.105,110659.31029041798,8042.089283400033,14687.857864474581,,,2078.7227348799865,,-34.18802033891163,8042.089283400033,0.0,,4.744514444610104e-05,-34.18802033891163,,6.703226063109469e-08,5.546228408813477,3.3649605484242784e-06,,110659.31029041798,200,14687.857864474581,2720000,0.0,,0.0,,,33,,3.2979282877931837e-06,,,0.105,2078.7227348799865
,34,200,,,,,,34,0.07,76863.50486415114,6707.855010407053,13149.103762514354,,,1856.3489438157017,,-26.054175440230726,6707.855010407053,0.0,,7.288472988875583e-05,-26.054175440230726,,1.0340136213926598e-07,5.545011520385742,-1.5724477862022468e-06,,76863.50486415114,200,13149.103762514354,2800000,0.0,,0.0,,,34,,-1.6758491483415128e-06,,,0.07,1856.3489438157017
,35,200,,,,,,35,0.105,118844.15859117682,9270.781655165663,19430.79245635436,,,2247.5222577195595,,-30.829853016987443,9270.781655165663,0.0,,0.0018929315265268087,-30.829853016987443,,3.6812589314649813e-06,5.538887023925781,-4.774438821186777e-06,,118844.15859117682,200,19430.79245635436,2880000,0.0,,0.0,,,35,,-8.455697752651758e-06,,,0.105,2247.5222577195595
,36,200,,,,,,36,0.09,90122.42208354373,7565.6801512108905,13073.363341135515,,,2093.214156809991,,-26.556941317069256,7565.6801512108905,0.0,,2.3849459466873668e-05,-26.556941317069256,,3.371405910002068e-08,5.542932033538818,4.041699867229909e-06,,90122.42208354373,200,13073.363341135515,2960000,0.0,,0.0,,,36,,4.007985808129888e-06,,,0.09,2093.214156809991
,37,200,,,,,,37,0.055,138862.828013561,8397.745994470628,16080.373009574962,,,2243.672301365917,,-21.629381943208433,8397.745994470628,0.0,,1.9328997950651683e-05,-21.629381943208433,,2.7317582862451673e-08,5.544952392578125,2.2885662929184036e-06,,138862.828013561,200,16080.373009574962,3040000,0.0,,0.0,,,37,,2.261248710055952e-06,,,0.055,2243.672301365917
,38,200,,,,,,38,0.07,125593.63022066961,8831.141782980429,18579.078146314423,,,2238.4430222517285,,-24.732968371535712,8831.141782980429,0.0,,2.3377220713882707e-05,-24.732968371535712,,3.300510797998868e-08,5.542932033538818,-2.025317826337414e-06,,125593.63022066961,200,18579.078146314423,3120000,0.0,,0.0,,,38,,-2.0583229343174025e-06,,,0.07,2238.4430222517285
,39,200,,,,,,39,0.065,121351.65802148773,7093.8435073677765,15156.611805337247,,,1970.4551318878282,,-51.10814944212955,7093.8435073677765,0.0,,0.00010762074089143425,-51.10814944212955,,1.5244467022057506e-07,5.543359756469727,3.963615142765775e-07,,121351.65802148773,200,15156.611805337247,3200000,0.0,,0.0,,,39,,2.4391684405600245e-07,,,0.065,1970.4551318878282
4,40,200,20050.453374908793,-45.7911361648906,0.0,6328.702841674463,4,40,0.1,116967.27492176823,8933.212784517771,15026.757881909505,6328.702841674464,0.0,2476.5666870901173,6328.702841674464,-27.21034075412741,8933.212784517771,0.0,0.0,4.616242222255096e-05,-27.21034075412741,-45.7911361648906,6.529353413498029e-08,5.5424370765686035,-1.0285908729201765e-06,10,116967.27492176823,200,15026.757881909505,3280000,0.0,20050.453374908793,0.0,7435.700062498745,0.0,40,10,-1.0938844070551568e-06,6328.702841674463,7435.700062498745,0.1,2476.5666870901173
,41,200,,,,,,41,0.065,103987.50914196682,7540.642562028097,14932.870447439447,,,2231.5537017335214,,-27.93543950578627,7540.642562028097,0.0,,3.861322329612449e-05,-27.93543950578627,,5.469019015436061e-08,5.535057067871094,-6.489111001428682e-06,,103987.50914196682,200,14932.870447439447,3360000,0.0,,0.0,,,41,,-6.543801191583043e-06,,,0.065,2231.5537017335214
,42,200,,,,,,42,0.075,123100.90331112471,9117.632253831578,17957.27242688654,,,2489.7558545462352,,-28.8826055755894,9117.632253831578,0.0,,2.397847674728837e-05,-28.8826055755894,,3.393301994947251e-08,5.53085994720459,-3.7550321394519415e-06,,123100.90331112471,200,17957.27242688654,3440000,0.0,,0.0,,,42,,-3.788965159401414e-06,,,0.075,2489.7558545462352
,43,200,,,,,,43,0.075,111967.23378976794,10259.214267849353,16582.616163547715,,,2778.1665612134266,,-27.929632970999474,10259.214267849353,0.0,,1.0350411685067229e-05,-27.929632970999474,,1.4649117474618834e-08,5.530424118041992,-1.6950019698924734e-06,,111967.23378976794,200,16582.616163547715,3520000,0.0,,0.0,,,43,,-1.7096510873670923e-06,,,0.075,2778.1665612134266
,44,200,,,,,,44,0.055,100654.56943943426,6236.21130614131,13878.764057926981,,,1665.5666636562046,,-28.312095568999233,6236.21130614131,0.0,,0.0016642038244754076,-28.312095568999233,,2.808805220411159e-06,5.5097880363464355,-1.652390528761316e-05,,100654.56943943426,200,13878.764057926981,3600000,0.0,,0.0,,,44,,-1.933271050802432e-05,,,0.055,1665.5666636562046
,45,200,,,,,,45,0.12,151276.87200085825,8495.011052564618,16750.62879167542,,,2277.2976106038172,,-24.027886379382224,8495.011052564618,0.0,,4.1543303268554155e-06,-24.027886379382224,,5.881446440980653e-09,5.5097222328186035,-2.592575469861913e-07,,151276.87200085825,200,16750.62879167542,3680000,0.0,,0.0,,,45,,-2.6513899342717195e-07,,,0.12,2277.2976106038172
,46,200,,,,,,46,0.11,74762.37358965391,9184.810705602671,14803.9521393569,,,2496.7111177373126,,-21.167834528976844,9184.810705602671,0.0,,0.00015466773766092956,-21.167834528976844,,2.2051699488656595e-07,5.518890857696533,8.831570994516369e-06,,74762.37358965391,200,14803.9521393569,3760000,0.0,,0.0,,,46,,8.611053999629803e-06,,,0.11,2496.7111177373126
,47,200,,,,,,47,0.09,91239.53981561578,8958.176702217874,15746.883996919012,,,2374.7476709441507,,-23.027984011908867,8958.176702217874,0.0,,2.749277336988598e-05,-23.027984011908867,,3.8865877627358714e-08,5.518727779388428,-2.356202486453185e-07,,91239.53981561578,200,15746.883996919012,3840000,0.0,,0.0,,,47,,-2.744861262726772e-07,,,0.09,2374.7476709441507
,48,200,,,,,,48,0.1,143463.7037933263,10107.64000760524,20818.54731883401,,,2808.364326116367,,-29.281338430352022,10107.64000760524,0.0,,7.6275982792139985e-06,-29.281338430352022,,1.0780837556012557e-08,5.518555641174316,-4.40251085365162e-07,,143463.7037933263,200,20818.54731883401,3920000,0.0,,0.0,,,48,,-4.5103192292117456e-07,,,0.1,2808.364326116367
,49,200,,,,,,49,0.04,177398.0018096816,7371.001137768789,17945.92941291009,,,1985.213763298317,,-26.496307658445925,7371.001137768789,0.0,,0.00245579332113266,-26.496307658445925,,3.911987732863054e-06,5.458137512207031,-4.9284175474895164e-05,,177398.0018096816,200,17945.92941291009,4000000,0.0,,0.0,,,49,,-5.319616320775822e-05,,,0.04,1985.213763298317
