plate-slide-v1/Iteration,plate-slide-v1/StdReturn,GaussianMLPPolicy/KLBefore,TotalEnvSteps,MetaTest/plate-slide-v1/AverageDiscountedReturn,plate-slide-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,Average/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/StdReturn,plate-slide-v1/MinReturn,Average/SuccessRate,plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-v1/MaxReturn,plate-slide-v1/MaxReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/StdReturn,MetaTest/Average/Iteration,plate-slide-v1/TerminationRate,Iteration,plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,Average/Iteration,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/Iteration,plate-slide-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,GaussianMLPPolicy/Entropy,MetaTest/Average/MaxReturn,MetaTest/plate-slide-v1/SuccessRate,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/MinReturn,Average/TerminationRate
32,13487.331075008302,0.0,2640000,,2526.7350082567327,,4.871274995821295e-06,200,-1.982786841381312e-07,,,-43.46199695508493,0.015,200,,,,68175.20115934513,,-2.051711618378249e-07,13487.331075008302,,0.0,32,0.015,,,32,68175.20115934513,,9689.964588789078,,,9689.964588789078,2526.7350082567327,,5.697878360748291,,,,6.8924776996937e-09,-43.46199695508493,0.0
33,14540.994544101577,0.0,2720000,,2558.3371231962797,,3.930703314836137e-05,200,-2.5112865387200145e-06,,,-39.91891025109635,0.02,200,,,,83774.11575451193,,-2.5669355636637192e-06,14540.994544101577,,0.0,33,0.02,,,33,83774.11575451193,,9179.084363253223,,,9179.084363253223,2558.3371231962797,,5.695984363555908,,,,5.564902494370472e-08,-39.91891025109635,0.0
34,12460.84853507266,0.0,2800000,,2264.7330660358543,,1.550299748487305e-05,200,-1.6694302757969126e-06,,,-44.277221382301754,0.01,200,,,,50454.02729696406,,-1.6913603531065746e-06,12460.84853507266,,0.0,34,0.01,,,34,50454.02729696406,,8548.452345650785,,,8548.452345650785,2264.7330660358543,,5.694699764251709,,,,2.193007730966201e-08,-44.277221382301754,0.0
35,13062.320772855071,0.0,2880000,,2201.976790694432,,5.103616422275081e-05,200,-1.7912270777742378e-07,,,-40.54087172769587,0.02,200,,,,59944.46966705563,,-2.5158971084238146e-07,13062.320772855071,,0.0,35,0.02,,,35,59944.46966705563,,8061.223048631821,,,8061.223048631821,2201.976790694432,,5.694412708282471,,,,7.246700306495768e-08,-40.54087172769587,0.0
36,14993.855347449766,0.0,2960000,,2672.80751835656,,6.746540748281404e-05,200,-8.330192144967441e-07,,,-45.13020783745942,0.025,200,,,,112307.18734572822,,-9.287799684898346e-07,14993.855347449766,,0.0,36,0.025,,,36,112307.18734572822,,9950.508839572482,,,9950.508839572482,2672.80751835656,,5.693830490112305,,,,9.576075399309047e-08,-45.13020783745942,0.0
37,15612.953036940464,0.0,3040000,,2895.215450572816,,1.6464959117001854e-05,200,-1.1077958106398e-06,,,-43.02245477122057,0.01,200,,,,70960.22601837359,,-1.1310905847494723e-06,15612.953036940464,,0.0,37,0.01,,,37,70960.22601837359,,10758.910998244004,,,10758.910998244004,2895.215450572816,,5.692955493927002,,,,2.329477410967229e-08,-43.02245477122057,0.0
38,13375.353480245678,0.0,3120000,,2438.8765747873254,,4.4875168896396644e-06,200,-1.3224151871327194e-06,,,-43.18873265616948,0.03,200,,,,83264.4771622314,,-1.3287574347486952e-06,13375.353480245678,,0.0,38,0.03,,,38,83264.4771622314,,9057.480257361305,,,9057.480257361305,2438.8765747873254,,5.69170618057251,,,,6.3422476159757935e-09,-43.18873265616948,0.0
39,14289.757827135456,0.0,3200000,,2943.95161285599,,0.004839540924876928,200,1.4190418369253166e-05,,,-43.55667104321438,0.0,200,,,,50938.036803022085,,4.605079539032886e-06,14289.757827135456,,0.0,39,0.0,,,39,50938.036803022085,,10719.606136754246,,,10719.606136754246,2943.95161285599,,5.706306457519531,,,,9.58533883022028e-06,-43.55667104321438,0.0
40,15320.463831656858,0.0,3280000,3738.4629466726947,3150.3836877823796,-38.512946345942495,9.733651495480444e-06,200,1.9471285668259952e-06,-38.512946345942495,7023.743655937367,-46.4516289621878,0.015,200,0.0,3738.4629466726947,20989.299103614958,55323.74576285911,10,1.933354724314995e-06,15320.463831656858,4,0.0,40,0.015,7023.743655937367,10,40,55323.74576285911,3738.4629466726947,11174.000362391143,3738.4629466726947,4,11174.000362391143,3150.3836877823796,0.0,5.707787036895752,20989.299103614958,0.0,0.0,1.3773842511000112e-08,-46.4516289621878,0.0
41,12511.4201185988,0.0,3360000,,2171.7011973347703,,1.11404533527093e-05,200,-4.032417564303614e-06,,,-50.183229761402174,0.005,200,,,,73799.80694412922,,-4.048185928695602e-06,12511.4201185988,,0.0,41,0.005,,,41,73799.80694412922,,7489.537433186354,,,7489.537433186354,2171.7011973347703,,5.703555583953857,,,,1.5768364391988143e-08,-50.183229761402174,0.0
