MetaTest/Average/Iteration,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/Iteration,TotalEnvSteps
50,17.669730865231532,17.669730865231532,-34.536815359339535,10,-41608.953,-34.536815359339535,0.0,-67.36681709943119,0.0,nan,-67.36681709943119,-67.36681709943117,0.0,3572984.8,-99.17633064556787,0.0,-12.362828,-99.17633064556787,163.66617,10,-67.36681709943117,50,1424000
51,1625.178528514925,1625.178528514925,5375.395927416813,10,-40351.938,5375.395927416813,0.0,500.1791767615017,0.0,nan,500.1791767615017,500.17917676150256,0.0,4589672.5,-75.78066235606714,0.0,-11.443508,-75.78066235606714,154.66405,10,500.17917676150256,51,1448000
52,30.50194891266667,30.50194891266667,-5.20291095460685,10,-41032.59,-5.20291095460685,0.0,-37.87110814099002,0.0,nan,-37.87110814099002,-37.87110814099002,0.0,6884078.5,-106.63112355631282,0.0,-12.005686,-106.63112355631282,143.53134,10,-37.87110814099002,52,1472000
53,819.6888866654368,819.6888866654368,2507.8616650061913,10,-43775.57,2507.8616650061913,0.0,350.74668159761734,0.0,nan,350.74668159761734,350.7466815976176,0.0,9674512.0,-67.04560899366562,0.0,-12.900454,-67.04560899366562,303.4081,10,350.7466815976176,53,1496000
54,111.92104822144991,111.92104822144991,315.2930319088218,10,-47972.492,315.2930319088218,0.0,-18.62700638039728,0.0,nan,-18.62700638039728,-18.627006380397297,0.0,12515920.0,-74.53316842488805,0.0,-14.5471325,-74.53316842488805,271.0829,10,-18.627006380397297,54,1520000
55,21.590821761017796,21.590821761017796,-2.1012055020177955,10,-60135.246,-2.1012055020177955,0.0,-36.37137990763699,0.0,nan,-36.37137990763699,-36.37137990763699,0.0,18327286.0,-67.50791026690412,0.0,-16.771685,-67.50791026690412,269.43353,10,-36.37137990763699,55,1544000
56,34.60342411054062,34.60342411054062,-7.067081864846269,10,-63577.8,-7.067081864846269,0.0,-52.85918364222888,0.0,nan,-52.85918364222888,-52.85918364222889,0.0,24121652.0,-118.56215533181442,0.0,-17.512415,-118.56215533181442,296.77618,10,-52.85918364222889,56,1568000
57,34.52609900872348,34.52609900872348,-15.400605602099025,10,-78695.62,-15.400605602099025,0.0,-66.53238359975276,0.0,nan,-66.53238359975276,-66.53238359975276,0.0,30914916.0,-143.8536778710798,0.0,-19.221645,-143.8536778710798,210.1844,10,-66.53238359975276,57,1592000
58,7278.292375091431,7278.292375091431,23103.93419306274,10,-92662.3,23103.93419306274,0.0,3307.4778914061403,0.0,nan,3307.4778914061403,3307.4778914061403,0.0,37469010.0,-62.38584309708273,0.0,-20.401255,-62.38584309708273,192.38582,10,3307.4778914061403,58,1616000
59,39.65871813839919,39.65871813839919,-43.56668371781475,10,-106303.695,-43.56668371781475,0.0,-68.44086707512909,0.0,nan,-68.44086707512909,-68.44086707512908,0.0,39796450.0,-183.69574397571645,0.0,-21.214327,-183.69574397571645,224.69106,10,-68.44086707512908,59,1640000
