MetaTest/door-lock-v1/MaxReturn,MetaTest/Average/MinReturn,Average/Iteration,Average/AverageDiscountedReturn,door-lock-v1/NumEpisodes,Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/Iteration,door-lock-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/door-lock-v1/NumEpisodes,door-lock-v1/MaxReturn,Average/TerminationRate,door-lock-v1/StdReturn,MetaTest/Average/MaxReturn,policy/KLBefore,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/SuccessRate,door-lock-v1/SuccessRate,policy/LossBefore,MetaTest/door-lock-v1/AverageDiscountedReturn,policy/LossAfter,MetaTest/door-lock-v1/SuccessRate,Average/MinReturn,MetaTest/door-lock-v1/TerminationRate,Average/AverageReturn,policy/dLoss,MetaTest/door-lock-v1/StdReturn,door-lock-v1/TerminationRate,Average/SuccessRate,MetaTest/Average/NumEpisodes,door-lock-v1/Iteration,MetaTest/door-lock-v1/AverageReturn,policy/Entropy,MetaTest/Average/StdReturn,door-lock-v1/MinReturn,Average/StdReturn,MetaTest/door-lock-v1/Iteration,door-lock-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,policy/KL,LinearFeatureBaseline/ExplainedVariance
,,33,854.7023674647354,100,100,680000,,2450.9200690408998,,,59210.7344462761,0.0,6548.156825519217,,0.0,,,0.02,-7.312883,,-12.57591,,-34.24133581518278,,2450.9200690408998,5.2630267,,0.0,0.02,,33,,5.3014827,,-34.24133581518278,6548.156825519217,,854.7023674647354,59210.7344462761,,,0.0057204184,0.1771660342455742
,,34,1591.6065475296405,100,100,700000,,4407.47310099171,,,65678.32076578379,0.0,11279.379044510068,,0.0,,,0.06,-1.5447625,,-9.919888,,-41.350719222406575,,4407.47310099171,8.375125,,0.0,0.06,,34,,5.2669115,,-41.350719222406575,11279.379044510068,,1591.6065475296405,65678.32076578379,,,0.007365365,0.26586028641175674
,,35,1668.0216575371167,100,100,720000,,4845.661639994488,,,58331.490793513345,0.0,10714.489970619868,,0.0,,,0.05,5.9304843,,-5.5106783,,-39.069804894244115,,4845.661639994488,11.441162,,0.0,0.05,,35,,5.2291417,,-39.069804894244115,10714.489970619868,,1668.0216575371167,58331.490793513345,,,0.0077769663,0.2495804789440177
,,36,1617.4169838616456,100,100,740000,,4318.371823349182,,,93065.74268926262,0.0,10720.464965923074,,0.0,,,0.04,-3.9744563,,-14.218594,,-32.31437640899207,,4318.371823349182,10.244137,,0.0,0.04,,36,,5.1881533,,-32.31437640899207,10720.464965923074,,1617.4169838616456,93065.74268926262,,,0.005211175,0.23997841070977521
,,37,1591.7189916048128,100,100,760000,,3900.888380245504,,,54981.485614523815,0.0,8094.791642863803,,0.0,,,0.02,-3.3090124,,-9.4264,,-35.81752693679907,,3900.888380245504,6.117388,,0.0,0.02,,37,,5.1324224,,-35.81752693679907,8094.791642863803,,1591.7189916048128,54981.485614523815,,,0.008478623,0.22627911714356452
,,38,1195.0565194542555,100,100,780000,,3080.173403287061,,,31313.180365702876,0.0,5635.280265161365,,0.0,,,0.07,0.03322656,,-4.882794,,-33.551074189978344,,3080.173403287061,4.9160204,,0.0,0.07,,38,,5.0882936,,-33.551074189978344,5635.280265161365,,1195.0565194542555,31313.180365702876,,,0.006960968,0.20121863286091868
,,39,1921.65905677475,100,100,800000,,5200.575587955322,,,52519.80955259597,0.0,9593.185668872688,,0.0,,,0.06,1.0966625,,-6.6294155,,-37.17718246299807,,5200.575587955322,7.726078,,0.0,0.06,,39,,5.0662813,,-37.17718246299807,9593.185668872688,,1921.65905677475,52519.80955259597,,,0.007944222,0.2630037901287715
103423.99319412808,-27.193239488390965,40,1453.117468502429,100,100,820000,4,3919.742195851593,0.0,10,82844.41155351022,0.0,10959.028329143626,103423.99319412808,0.0,-27.193239488390965,0.3,0.07,-0.5931672,17630.297556943944,-9.859365,0.3,-35.88794722017237,0.0,3919.742195851593,9.266198,30173.47315818116,0.0,0.07,10,40,17630.297556943944,5.0292354,30173.47315818116,-35.88794722017237,10959.028329143626,4,1453.117468502429,82844.41155351022,17630.297556943944,17630.297556943944,0.006521752,0.20709087637078338
,,41,2011.7832390939902,100,100,840000,,5846.248188438085,,,203405.87384997925,0.0,22624.417263670122,,0.0,,,0.07,27.79892,,7.4261436,,-31.094356884431512,,5846.248188438085,20.372776,,0.0,0.07,,41,,4.977143,,-31.094356884431512,22624.417263670122,,2011.7832390939902,203405.87384997925,,,0.0076094544,0.3082067223876328
,,42,2890.0418989128693,100,100,860000,,9464.690041743046,,,188705.2952611375,0.0,26570.717044530335,,0.0,,,0.12,-10.320925,,-36.898674,,-34.9642865236223,,9464.690041743046,26.57775,,0.0,0.12,,42,,4.9204993,,-34.9642865236223,26570.717044530335,,2890.0418989128693,188705.2952611375,,,0.008728785,0.20336372561438198
